"image_filename","scene_description","colors","category","materials","design_elements"
"anarkali suit with a long, olive green kurta adorned with intricate embroidery around the neckline and cuffs, paired with matching fitted trousers.jpg","Una donna in piedi in un ambiente esterno, indossando un elegante abito tradizionale dal taglio lungo e ampio di colore verde con ricami dorati. L'ambiente è luminoso e color crema, che contrasta con il vibrante colore dell'abito.","verde, dorato","Abito tradizionale","seta, filo metallico","ricamo dorato, maniche lunghe, scollatura dettagliata, doppiata con stoffa verde più scuro"
"Anarkali suit with a modern twist.jpg","Una donna indossa un abito lungo elegante, caratterizzato da un design spazioso e fluttuante. L'abito presenta una base di colore bianco con grandi cuori blu stampati su tutta la superficie. La donna sta tenendo il lato del suo abito con una mano mentre con l'altra scatta una foto allo specchio usando il suo smartphone.","Bianco, Blu","Abito lungo","Probabilmente poliestere o seta","Cuori stampati, Orlo con perline, Maniche lunghe, Taglio fluttuante"
"Anarkali suit with fitted bodice with a high neckline.jpg","Una donna indossa un lungo abito tradizionale indiano. L'abito ha un corpetto ricamato con dettagli floreali e un'ampia gonna arricciata di colore blu scuro con ricami floreali sul fondo.","blu scuro, rosso, giallo, verde","Abito tradizionale indiano","seta, cotone","ricamo floreale, corpetto dettagliato, gonna arricciata, orlo arricciato"
"anarkali suit with a long, olive green kurta adorned with intricate embroidery around the neckline and cuffs, paired with matching fitted trousers.jpg","A woman models a traditional South Asian outfit, standing against a light-colored architectural backdrop. The outfit consists of a long kurti paired with slim pants and an elaborately embroidered dupatta.","olive green, gold, dark green","Traditional wear","silk, chiffon","embroidery, beading, pleats"
"Anarkali suit with a modern twist.jpg","Una donna indossa un elegante abito lungo decorato con grandi cuori viola su sfondo bianco. La donna tiene in mano il bordo del suo abito e scatta una foto allo specchio con un telefono.","Bianco, Viola","Abito da donna","Probabilmente seta o poliestere","Stampa a cuori, Maniche lunghe, Calzata ampia, Orlo decorato con perline"
"Anarkali suit with fitted bodice with a high neckline.jpg","Una donna indossa un abito lungo fino alla caviglia di colore blu petrolio. L'abito presenta un corpo superiore aderente con ricami floreali multicolori e una gonna ampia con sottili ricami floreali dorati e rossi sulla parte inferiore.","Blu petrolio, Oro, Rosso, Verde, Beige","Abito lungo","Tessuto sintetico","Ricamo floreale, Gonna a pannelli, Senza maniche"
"anarkali suit with intricate silver embellishments on the neckline, sleeves.jpg","Una donna posa seduta su una sedia, indossando un elegante salwar kameez di colore viola con dettagli ricamati e un dupatta abbinato. Tiene una piccola borsa da mano color crema.","viola, crema, argento","Abbigliamento tradizionale indiano","cotone, seta","ricamo, perline, paillettes, scollatura a V, maniche lunghe, bordura dettagliata"
"anarkali suit with lavender in color with intricate white patterns throughout the fabric.jpg","Una modella posa in uno studio con sfondo grigio, indossando un elegante abito da donna in stile etnico. L'abito è lungo, con maniche lunghe e include un dupatta, tutti con lavorazione dettagliata e elementi decorativi.","Lilla, Viola chiaro, Bianco, Argento","Abbigliamento etnico","Seta, Chiffon, Ricami metallici","Ricami floreali, Bordi con paillettes e filo d'argento, Tessuto trasparente per il dupatta"
"anarkali suit. It consists of a turquoise skirt with detailed golden embroidery, a multicolored blouse with floral patterns, and an orange dupatta with lace borders.jpg","Una donna in abiti tradizionali indiani posa su scalini erbosi di fronte ad un'antica struttura architettonica.","Turchese, Rosa, Azzurro, Verde, Multicolore","Abbigliamento tradizionale indiano","Seta, Cotone","Ricamo colorato sul corpetto, Motivi floreali, Orlo decorato, Dupatta trasparente e bordato"
"ark green, knee-length dress with short sleeves and a white, patterned neckline.jpg","Una donna cammina in un corridoio interno, indossando un abito aderente di colore nero con dettagli decorativi color crema sulla parte superiore. L'ambiente è sereno con una porta in legno sullo sfondo.","nero, crema, marrone del legno","Abito da donna","tessuto elastico, decorazione in filo","taglio aderente, maniche corte, dettaglio decorativo sul colletto, lunghezza fino al ginocchio"
"beige top adorned with black dots and a green skirt.jpg","Donna in un abito elegante seduta su un'altalena in un contesto all'aperto ricco di verde. L'abito è caratterizzato da una parte superiore decorata con perline e una parte inferiore in tinta unita.","Verde scuro, Dorato, Beige","Abito da sera","Seta, Perline","Scollatura profonda, Decorazione con perline, Cintura in vita"
